Order #,SB #,SKU,Item Description,Model,Qty,Category,Unit Retail,Ext. Retail,Brand,UPC,Department,Product Class,Subcategory
1176354,778005,1002159511,TimeMaster 30 in. Briggs & Stratton Personal Pace Self-Propelled Walk-Behind Gas Lawn Mower with Spin-Stop,21199,1,HARDWARE AND TOOLS,1783.1,1783.1,Toro,,Outdoors,,Lawn Mowers
1176354,777726,1001694561,RIDGID 10IN WET TILE SAW W-STAND,R4092,2,HARDWARE AND TOOLS,793.65,1587.3,RIDGID,,Flooring,,Flooring Tools
1176354,778005,1003581001,9-Piece Regular Duty Welded Steel Garage Storage System in Black (133 in. W x 75 in. H x 19 in. D) (Please be advised that sets may be missing pieces or otherwise incomplete.),GS13209-WO,1,HARDWARE AND TOOLS,1056.87,1056.87,Husky,,Storage & Organization,,Garage Storage Systems
1176354,777726,929866,RIDGID 12 GAL WET/DRY VAC,WD1270,8,HARDWARE AND TOOLS,124.33,994.64,,,,,
1176354,778005,463474,LINCOLN ELEC 140HD WIRE FEED WELDER,K2514-1,1,HARDWARE AND TOOLS,833.34,833.34,,,,,
1176354,778005,1003839187,21in. 140cc Briggs & Stratton Gas Push Lawn Mower with Rear bag and Mulching Kit Included,11A-B1BM723,2,HARDWARE AND TOOLS,407.65,815.3,Troy-Bilt,,Outdoors,,Lawn Mowers
1176354,778005,1001694561,RIDGID 10IN WET TILE SAW W-STAND,R4092,1,HARDWARE AND TOOLS,793.65,793.65,RIDGID,,Flooring,,Flooring Tools
1176354,778005,311220,"""7"""" RIDGID TILE SAW W/ STAND""",R4030S,2,HARDWARE AND TOOLS,353.12,706.24,,,,,
1176354,777726,311220,"""7"""" RIDGID TILE SAW W/ STAND""",R4030S,2,HARDWARE AND TOOLS,353.12,706.24,,,,,
1176354,777726,1004185550,"""90 QT STORAGE BOX, GRAY""",16666A04,39,HARDWARE AND TOOLS,17.19,670.41,Sterilite,,Storage & Organization,,Storage Bins
1176354,778005,1003430745,"9 Gal. 4.25-Peak HP NXT Wet/Dry Shop Vacuum with Filter, Hose and Accessories",HD0900,6,HARDWARE AND TOOLS,109.87,659.22,RIDGID,,Tools,,Wet & Dry Vacuums
1176354,777726,1003208332,4.5 Gal. Portable Electric-Powered Silent Air Compressor,3320445,3,HARDWARE AND TOOLS,218.2,654.6,Husky,,Tools,,Air Compressors
1176354,777726,1002256333,M18 FUEL 18V Lithium-Ion Brushless Cordless 10 in. Dual Bevel Sliding Compound Miter Saw (Tool-Only),754572,1,HARDWARE AND TOOLS,642.39,642.39,Milwaukee,,Tools,,Saws
1176354,778005,1000029981,HUSKY 432PC MECHANICS TOOL SET (Please be advised that sets may be missing pieces or otherwise incomplete.),H432MTS,1,HARDWARE AND TOOLS,546.21,546.21,Husky,,Tools,,Hand Tool Sets
1176354,777726,1003225286,72 in. x 24 in. 3-Drawers Rolling Industrial Workbench and Wood Top,68001,1,HARDWARE AND TOOLS,530.99,530.99,Duramax Building Products,,Tools,,Tool Chests
